document_field_name_pruned,count,proportion
Computer Science,152567,0.508766957008897
Engineering,29376,0.09796049033600555
"Biochemistry, Genetics and Molecular Biology",25739,0.08583214395283384
Other,23036,0.07681841827955554
Physics and Astronomy,15133,0.050464191865971265
Medicine,14673,0.04893022449279035
Mathematics,9675,0.03226333551201163
Environmental Science,8893,0.029655590977604077
Social Sciences,7627,0.025433845989675734
Neuroscience,7094,0.02365644466379437
Decision Sciences,6063,0.020218356920860624
