document_repository_link_id,document_id,repository_id,document_url,repository_url,predictive_model_confidence,label,this-repo-linked-in-paper,this-paper-linked-in-repo,diff-repo-linked-in-paper,diff-paper-linked-in-repo,notes,
338184,331154,325000,https://doi.org/10.1038/s41597-025-04546-3,https://github.com/earthyscience/firesight,0.9912569523,non-match,no,no,yes,no,"there are two repos linked in the paper: https://github.com/SeasFire/seasfire-datacube/tree/main and https://github.com/SeasFire/seasfire-datacube-paper -- this repo is part of the project but isn't the ""canonical"" imo.",
366598,359556,353414,https://doi.org/10.5194/egusphere-2023-661-rc1,https://github.com/thomasjkeel/jsmetrics-examples,0.9913148284,non-match,no,no,yes,yes,"this is the ""examples"" version of the repo and not the actual software library itself: https://github.com/thomasjkeel/jsmetrics",
261137,254248,247953,https://doi.org/10.1080/07853890.2022.2152484,https://github.com/nnpdf/mcpdf,0.9913545251,non-match,no,no,no,no,i cant really tell why these were linked,
456141,448928,442957,https://doi.org/10.5194/essd-2025-753-supplement,https://github.com/international-soil-radiocarbon-database/israd-v2-analysis,0.9919248223,match,no,no,yes,no,"this is the ""supplimentary material"" for the paper https://essd.copernicus.org/preprints/essd-2025-753/ -- otherwise correct linking -- the repo is linked in the preprint but not the suppliment",
483575,476345,470391,https://doi.org/10.1016/j.aquaculture.2024.741917,https://github.com/razigooner/idai-720-assignments,0.9922510982,non-match,no,no,no,no,repo seems like a teaching repo,
490173,482935,476989,https://doi.org/10.1007/978-3-319-59483-5_3,https://github.com/htasken/otf,0.9922687411,unclear,no,no,no,no,"one author matches, it is about open tidal farm, the ""article"" is a book chapter and it is about optimization but the chapter doesnt mention pitch or blades",
459353,452139,446169,https://doi.org/10.1016/b978-0-44-319035-3.00016-1,https://github.com/wilsonmongwe/hybridtorch,0.992618978,unclear,no,no,no,no,similar topically but unclear. I can't find any other code for the article though,
202975,196263,189791,https://doi.org/10.1007/978-3-031-32316-4_3,https://github.com/diehlpk/modern-cpp-examples,0.9929283261,non-match,no,no,yes,no,correct repo is: https://github.com/STEllAR-GROUP/parallelnumericalintegration,
491873,484632,478689,https://doi.org/10.3847/1538-4357/ad1401,https://github.com/wei-lingfeng/starrynight,0.9932352901,match,no,no,no,no,match!,
226871,220076,213687,https://doi.org/10.1093/database/bay076,https://github.com/cbaziotis/hierarchical-rnn-biocreative-4,0.9940032363,unclear,no,no,yes,no,"tough call, the ""correct"" repo is a fork with 5 commits difference from the one we matched. The one we matched is very similar and from the same author set",
297864,290901,284680,https://doi.org/10.48550/arxiv.2309.09425,https://github.com/rwhebell/whebell2023_multiscalewheat,0.9940423369,match,no,no,no,no,,
356647,349606,343463,https://doi.org/10.48550/arxiv.2109.14093,https://github.com/jenniferowen/multi_cell_with_swapping,0.9944788218,match,no,no,no,no,,
497590,490346,484406,https://doi.org/10.1007/s11768-021-00062-y,https://github.com/umcu-ribs/palmtree,0.9945762157,match,no,yes,no,no,"one repo many papers, can't find any paper specific analysis repo",
352327,345287,339143,https://doi.org/10.1007/s10462-025-11339-y,https://github.com/luminwin/ivarpro,0.9948000908,non-match,no,no,yes,no,"so close but just off, this repo is slides / a talk about the same work -- likely thrown off because the paper calls the software ""iVarPro"" and the actual repo is varPro, while this repo is ""iVarPro""",
321310,314300,308126,https://doi.org/10.1016/j.indcrop.2024.120299,https://github.com/ungrandroi/papers_library,0.9956236482,non-match,no,no,no,no,repo is a collection of papers -- not actual code,
250226,243369,237042,https://doi.org/10.1101/828582,https://github.com/nrnhines/nrntmp1,0.9956387877,non-match,no,no,no,no,"this repo seems to be a reupload of the NEURON software, the actual code for the study may be here: https://github.com/ModelDBRepository/249705",
440429,433228,427245,https://doi.org/10.3389/frobt.2016.00024,https://github.com/drdanz/icub-firmware,0.9965158701,unclear,no,no,no,no,seems related but isn't a perfect match -- from the description I think this repo is likely very similar to what we should be linking but it isn't the official icub repo -- this one is just for moving from SVN to Git?,
241714,234881,228530,https://doi.org/10.48550/arxiv.1910.05291,https://github.com/shawn-guo-cn/iteratedlearning,0.9965817332,match,no,no,no,no,,
303289,296320,290105,https://doi.org/10.1101/2021.12.14.472689,https://github.com/genome/docker-hisat2-sambamba,0.9968434572,non-match,no,no,no,no,likely related but also not the canonical match with figures/analysis/etc,
279629,272696,266445,https://doi.org/10.1145/3759917,https://github.com/beamelani/consistency_check,0.9969149828,match,yes,no,no,no,Paper is linked via github citation,
208818,202080,195634,https://doi.org/10.1093/neuonc/noae165.0759,https://github.com/d3b-center/fw-deepliif-predict,0.9970011115,match,no,no,no,no,"i _think_ this is correct. it is a weird paper / document and a weird repo but the abstract describes the work as an extension of DeepLIF and the repo says the same. They even both reference the same ""IHC"" images",
337552,330523,324368,https://doi.org/10.20381/ruor-22444,https://github.com/alipsgh/tornado,0.9971440434,match,yes,yes,no,no,,
489667,482432,476483,https://doi.org/10.1136/bmjmed-2023-000651,https://github.com/aostropolets/legendhf,0.9972901344,non-match,no,no,no,no,seems related but also doesn't seem perfectly matched,
393513,386470,380329,https://doi.org/10.1575/1912/70396,https://github.com/d-mcgrath/metapathpredict-e,0.9976100922,match,yes,no,yes,no,this is a thesis which links out to multiple repos -- this is just one of them but it is central to one of the papers in the thesis overall,
362053,355012,348869,https://doi.org/10.13182/xyz-47184,https://github.com/lukelabrie/openmc_nuclear_lunch,0.9980320334,non-match,no,no,yes,no,different repo cited in article,
499137,491891,485953,https://doi.org/10.3897/aca.4.e65034,https://github.com/lanzen/metamon2,0.998091042,match,yes,no,no,no,had to find the actual publication and not the conference abstract,
405195,398150,392011,https://doi.org/10.3390/ani12111343,https://github.com/ekasb/lc-repeated-tests,0.9984143972,match,yes,yes,no,no,,
232848,226035,219664,https://doi.org/10.48550/arxiv.2408.16845,https://github.com/zelaki/local_pnp,0.9986048341,match,no,no,yes,no,"repo linked in paper is a github.io / docs / website not the repo, they don't have the website pointing to this repo which after review of the github profile, I think this is the only one that could possibly match so I think they had bad linking on their side and we corrected",
389321,382278,376137,https://doi.org/10.48550/arxiv.2507.07023,https://github.com/maxale/egyptian-fractions,0.9986384511,match,yes,yes,no,no,,
438379,431181,425195,https://doi.org/10.48550/arxiv.1811.09938,https://github.com/half-potato/loopclosure,0.9986974597,match,no,no,no,no,"code is stated in the paper as ""we will release""",
244302,237460,231118,https://doi.org/10.1002/essoar.10510642.2,https://github.com/eco4cast/gefs4cast,0.9988026619,non-match,no,no,no,no,"the paper links to a mybinder version of the repo, but it points at zenodo, you have to take a few steps to get back to the normal github repo",
378716,371673,365532,https://doi.org/10.1016/j.jclinepi.2019.03.012,https://github.com/iatal/fragility_ma,0.9988056421,match,yes,no,no,no,,
288212,281264,275028,https://doi.org/10.32614/rj-2017-023,https://github.com/sctyner/ggcompnet,0.9988534451,match,no,no,no,no,,
