software_name_normalized,import_count,import_proportion
numpy,142968,0.9434465282635379
torch,92508,0.610460742520028
matplotlib,92242,0.6087054072245905
scipy,80267,0.529682323905555
pandas,73578,0.4855415803296863
tqdm,72085,0.47568926605867834
sklearn,61057,0.402915440351595
torchvision,43251,0.28541355963520704
pil,42237,0.2787221686969605
cv2,31304,0.20657524845253336
seaborn,26667,0.1759756628700392
transformers,24896,0.16428882524515304
tensorflow,22588,0.14905832200504165
yaml,22049,0.14550145838007628
requests,16573,0.1093653077115971
skimage,16225,0.10706885401681426
h5py,13089,0.08637437474428857
wandb,12832,0.0846784304926817
networkx,11090,0.07318296400902743
nltk,11046,0.07289260779474456
einops,10721,0.07074793121197323
ipython,9576,0.06319207063574812
tensorboardx,9501,0.06269714527049321
datasets,9250,0.06104079504810674
mpltoolkits,9104,0.06007734033707717
timm,8884,0.058625559265662736
pytest,8362,0.0551808787234885
joblib,8015,0.052891024033575734
imageio,7706,0.05085193152872547
six,6985,0.04609404901740818
openai,6916,0.04563871768137365
omegaconf,6679,0.0440747535271681
keras,6550,0.04322348189892964
pytorchlightning,6499,0.0428869326505563
torchgeometric,5108,0.033707716876295056
apex,5051,0.033331573598701314
packaging,4700,0.03101532288930829
numba,4642,0.030632580606844487
huggingfacehub,4610,0.03042141245100239
psutil,4609,0.030414813446132324
statsmodels,4570,0.030157452256199764
pycocotools,4448,0.02935237366205176
spacy,4410,0.02910161147698927
torchmetrics,4281,0.02825033984875081
gym,4272,0.028190948804920218
hydra,3940,0.026000079188058443
accelerate,3937,0.025980282173448246
plotly,3918,0.025854901080917
google,3724,0.024574694136124273
peft,3713,0.02450210508255355
