library_name_normalized,imports_count,mentions_count,import_to_mention_ratio,mention_to_import_ratio
requests,1918,1,1918.0,0.0005213764337851929
tensorboardx,1722,1,1722.0,0.0005807200929152149
tqdm,7786,10,778.6,0.0012843565373747753
pylab,711,1,711.0,0.0014064697609001407
mpltoolkits,1406,2,703.0,0.001422475106685633
click,441,1,441.0,0.0022675736961451248
pil,5234,15,348.93333333333334,0.002865876958349255
packaging,297,1,297.0,0.003367003367003367
apex,836,3,278.6666666666667,0.0035885167464114833
dill,246,1,246.0,0.0040650406504065045
torchtext,229,1,229.0,0.004366812227074236
joblib,1200,6,200.0,0.005
wandb,528,3,176.0,0.005681818181818182
mock,155,1,155.0,0.0064516129032258064
torchvision,4958,32,154.9375,0.00645421540943929
onnxruntime,154,1,154.0,0.006493506493506494
imblearn,150,1,150.0,0.006666666666666667
plyfile,146,1,146.0,0.00684931506849315
yaml,2348,17,138.11764705882354,0.007240204429301534
levenshtein,129,1,129.0,0.007751937984496124
moviepy,123,1,123.0,0.008130081300813009
jinja2,123,1,123.0,0.008130081300813009
pytz,122,1,122.0,0.00819672131147541
regex,353,3,117.66666666666667,0.0084985835694051
tensorboard,115,1,115.0,0.008695652173913044
soundfile,309,3,103.0,0.009708737864077669
bio,942,10,94.2,0.010615711252653927
timm,342,4,85.5,0.011695906432748537
h5py,2282,31,73.61290322580645,0.013584574934268186
panopticapi,73,1,73.0,0.0136986301369863
pytest,1380,19,72.63157894736842,0.013768115942028985
psutil,575,8,71.875,0.01391304347826087
imageio,853,12,71.08333333333333,0.01406799531066823
pingouin,70,1,70.0,0.014285714285714285
pydensecrf,70,1,70.0,0.014285714285714285
transformers,1545,23,67.17391304347827,0.01488673139158576
medpy,67,1,67.0,0.014925373134328358
sentencepiece,265,4,66.25,0.01509433962264151
toml,63,1,63.0,0.015873015873015872
pyarrow,122,2,61.0,0.01639344262295082
pywt,61,1,61.0,0.01639344262295082
lasagne,61,1,61.0,0.01639344262295082
bs4,418,7,59.714285714285715,0.01674641148325359
openpyxl,119,2,59.5,0.01680672268907563
thop,173,3,57.666666666666664,0.017341040462427744
zmq,56,1,56.0,0.017857142857142856
ptflops,56,1,56.0,0.017857142857142856
tensorrt,54,1,54.0,0.018518518518518517
efficientnetpytorch,54,1,54.0,0.018518518518518517
gym,319,6,53.166666666666664,0.018808777429467086
