library_name_normalized,imports_count,mentions_count,import_to_mention_ratio,mention_to_import_ratio
scales,917,1,917.0,0.0010905125408942203
patchwork,360,1,360.0,0.002777777777777778
forcats,185,1,185.0,0.005405405405405406
xtable,175,1,175.0,0.005714285714285714
tibble,515,3,171.66666666666666,0.005825242718446602
lattice,155,1,155.0,0.0064516129032258064
gridextra,844,6,140.66666666666666,0.0071090047393364926
data.table,1085,9,120.55555555555556,0.008294930875576038
plotrix,119,1,119.0,0.008403361344537815
viridis,471,4,117.75,0.008492569002123142
httr,105,1,105.0,0.009523809523809525
broom,208,2,104.0,0.009615384615384616
foreach,307,3,102.33333333333333,0.009771986970684038
readr,574,6,95.66666666666667,0.010452961672473868
purrr,451,5,90.2,0.011086474501108648
magrittr,398,5,79.6,0.01256281407035176
lubridate,379,5,75.8,0.013192612137203167
knitr,271,4,67.75,0.014760147601476014
biocmanager,186,3,62.0,0.016129032258064516
readxl,430,7,61.42857142857143,0.01627906976744186
zoo,178,3,59.333333333333336,0.016853932584269662
rcolorbrewer,969,17,57.0,0.017543859649122806
ggridges,112,2,56.0,0.017857142857142856
jsonlite,159,3,53.0,0.018867924528301886
reshape2,1031,20,51.55,0.019398642095053348
plyr,886,18,49.22222222222222,0.020316027088036117
dt,190,4,47.5,0.021052631578947368
rlang,181,4,45.25,0.022099447513812154
tidyr,1072,24,44.666666666666664,0.022388059701492536
gtools,162,4,40.5,0.024691358024691357
reticulate,121,3,40.333333333333336,0.024793388429752067
ggsci,118,3,39.333333333333336,0.025423728813559324
stringr,1083,30,36.1,0.027700831024930747
car,248,7,35.42857142857143,0.028225806451612902
dplyr,2531,83,30.49397590361446,0.032793362307388385
doparallel,347,12,28.916666666666668,0.0345821325648415
future,110,4,27.5,0.03636363636363636
sf,247,9,27.444444444444443,0.03643724696356275
pracma,105,4,26.25,0.0380952380952381
cowplot,739,29,25.482758620689655,0.03924221921515562
ggrepel,477,19,25.105263157894736,0.039832285115303984
mvtnorm,142,6,23.666666666666668,0.04225352112676056
hmisc,258,11,23.454545454545453,0.04263565891472868
boot,113,5,22.6,0.04424778761061947
stringi,105,5,21.0,0.047619047619047616
mass,566,28,20.214285714285715,0.04946996466431095
rmarkdown,121,6,20.166666666666668,0.049586776859504134
org.hs.eg.db,141,7,20.142857142857142,0.04964539007092199
psych,138,7,19.714285714285715,0.050724637681159424
devtools,499,29,17.20689655172414,0.05811623246492986
