library_name_normalized,imports_count,mentions_count,import_to_mention_ratio,mention_to_import_ratio
xgboost,341,189,1.8042328042328042,0.5542521994134897
scanpy,237,125,1.896,0.5274261603375527
rdkit,262,114,2.2982456140350878,0.4351145038167939
torch,10464,3404,3.074030552291422,0.3253058103975535
tensorflow,4302,971,4.43048403707518,0.22570897257089725
astropy,490,102,4.803921568627451,0.20816326530612245
keras,1509,280,5.389285714285714,0.1855533465871438
spacy,803,113,7.106194690265487,0.14072229140722292
sklearn,8937,1233,7.248175182481752,0.1379657603222558
scipy,12201,925,13.19027027027027,0.0758134579132858
networkx,1599,121,13.214876033057852,0.07567229518449031
skimage,2554,148,17.256756756756758,0.05794831636648395
matplotlib,13130,596,22.030201342281877,0.045392231530845394
numpy,21336,919,23.216539717083787,0.043072740907386574
cv2,4412,183,24.10928961748634,0.0414777878513146
pandas,10257,215,47.70697674418604,0.02096129472555328
