library_name_normalized,imports_count,mentions_count,import_to_mention_ratio,mention_to_import_ratio
snprelate,16,12,1.3333333333333333,0.75
dada2,35,25,1.4,0.7142857142857143
superlearner,19,13,1.4615384615384615,0.6842105263157895
xgboost,60,41,1.4634146341463414,0.6833333333333333
diversitree,15,10,1.5,0.6666666666666666
topgo,46,30,1.5333333333333334,0.6521739130434783
rrblup,20,13,1.5384615384615385,0.65
seuratdata,21,13,1.6153846153846154,0.6190476190476191
rstanarm,18,11,1.6363636363636365,0.6111111111111112
clusterprofiler,108,64,1.6875,0.5925925925925926
missforest,17,10,1.7,0.5882352941176471
mcmcglmm,35,20,1.75,0.5714285714285714
minfi,30,17,1.7647058823529411,0.5666666666666667
rjags,37,20,1.85,0.5405405405405406
phyloseq,118,63,1.873015873015873,0.5338983050847458
monocle3,21,11,1.9090909090909092,0.5238095238095238
gosemsim,23,12,1.9166666666666667,0.5217391304347826
seurat,269,140,1.9214285714285715,0.5204460966542751
rstan,154,80,1.925,0.5194805194805194
lavaan,46,23,2.0,0.5
glmmtmb,40,20,2.0,0.5
deseq2,261,130,2.0076923076923077,0.49808429118773945
adegenet,41,19,2.1578947368421053,0.4634146341463415
fgsea,39,18,2.1666666666666665,0.46153846153846156
r.matlab,44,20,2.2,0.45454545454545453
gprofiler2,22,10,2.2,0.45454545454545453
emmeans,92,41,2.2439024390243905,0.44565217391304346
seuratdisk,23,10,2.3,0.43478260869565216
inla,40,17,2.3529411764705883,0.425
ranger,66,28,2.357142857142857,0.42424242424242425
spdep,48,20,2.4,0.4166666666666667
lme4,361,149,2.422818791946309,0.41274238227146814
randomforest,165,67,2.462686567164179,0.40606060606060607
glmnet,197,78,2.5256410256410255,0.39593908629441626
wgcna,48,19,2.526315789473684,0.3958333333333333
rsamtools,61,23,2.652173913043478,0.3770491803278688
phytools,145,54,2.685185185185185,0.3724137931034483
brms,80,28,2.857142857142857,0.35
ggtree,130,45,2.888888888888889,0.34615384615384615
factominer,51,17,3.0,0.3333333333333333
metafor,40,13,3.076923076923077,0.325
qgraph,34,11,3.090909090909091,0.3235294117647059
desolve,60,19,3.1578947368421053,0.31666666666666665
nlme,127,40,3.175,0.31496062992125984
spatstat,40,12,3.3333333333333335,0.3
edger,184,55,3.3454545454545452,0.29891304347826086
ggraph,48,14,3.4285714285714284,0.2916666666666667
scran,55,16,3.4375,0.2909090909090909
mgcv,160,46,3.4782608695652173,0.2875
genomicalignments,39,11,3.5454545454545454,0.28205128205128205
