library_name_normalized,count,proportion_of_documents
torch,3404,0.3594508975712777
sklearn,1233,0.13020063357972544
tensorflow,971,0.10253431890179514
scipy,925,0.09767687434002112
numpy,919,0.09704329461457233
matplotlib,596,0.06293558606124604
keras,280,0.029567053854276663
pandas,215,0.02270327349524815
xgboost,189,0.01995776135163675
cv2,183,0.019324181626187962
skimage,148,0.01562829989440338
scanpy,125,0.013199577613516367
networkx,121,0.012777191129883844
rdkit,114,0.012038014783526927
spacy,113,0.011932418162618795
astropy,102,0.010770855332629356
statsmodels,98,0.010348468848996832
nltk,84,0.008870116156283
gensim,81,0.008553326293558606
ipython,72,0.007602956705385427
seaborn,70,0.007391763463569166
torchgeometric,65,0.006863780359028511
allennlp,58,0.006124604012671594
gurobipy,53,0.0055966209081309394
pymc3,48,0.005068637803590285
pytorch3d,44,0.004646251319957761
librosa,40,0.004223864836325237
cvxpy,36,0.0038014783526927136
flask,36,0.0038014783526927136
google,35,0.003695881731784583
plotly,33,0.003484688489968321
torchvision,32,0.00337909186906019
h5py,31,0.003273495248152059
pybullet,31,0.003273495248152059
pytorchlightning,30,0.003167898627243928
sympy,30,0.003167898627243928
mdanalysis,30,0.003167898627243928
hdbscan,29,0.003062302006335797
open3d,28,0.0029567053854276664
tensorflowaddons,28,0.0029567053854276664
pysam,28,0.0029567053854276664
carla,27,0.002851108764519535
elasticsearch,26,0.0027455121436114043
lightgbm,26,0.0027455121436114043
numba,26,0.0027455121436114043
xarray,25,0.0026399155227032735
cobra,25,0.0026399155227032735
fasttext,24,0.0025343189017951427
mpi4py,23,0.0024287222808870115
mne,23,0.0024287222808870115
