library_name_normalized,count,proportion_of_documents
ggplot2,419,0.13874172185430464
lme4,149,0.04933774834437086
seurat,140,0.046357615894039736
deseq2,130,0.04304635761589404
igraph,108,0.03576158940397351
vegan,99,0.03278145695364238
tidyverse,89,0.02947019867549669
dplyr,83,0.02748344370860927
rstan,80,0.026490066225165563
glmnet,78,0.025827814569536423
randomforest,67,0.02218543046357616
clusterprofiler,64,0.02119205298013245
phyloseq,63,0.020860927152317882
shiny,63,0.020860927152317882
limma,61,0.02019867549668874
edger,55,0.018211920529801324
phytools,54,0.017880794701986755
caret,53,0.017549668874172187
pheatmap,52,0.017218543046357615
mgcv,46,0.015231788079470199
ggtree,45,0.014900662251655629
raster,45,0.014900662251655629
ape,43,0.01423841059602649
emmeans,41,0.013576158940397352
ggpubr,41,0.013576158940397352
xgboost,41,0.013576158940397352
nlme,40,0.013245033112582781
survival,38,0.012582781456953643
lmertest,33,0.010927152317880795
gplots,31,0.010264900662251655
topgo,30,0.009933774834437087
stringr,30,0.009933774834437087
biomart,30,0.009933774834437087
devtools,29,0.009602649006622516
cowplot,29,0.009602649006622516
genomicranges,29,0.009602649006622516
brms,28,0.009271523178807948
ranger,28,0.009271523178807948
mass,28,0.009271523178807948
complexheatmap,27,0.008940397350993378
proc,27,0.008940397350993378
dada2,25,0.008278145695364239
tidyr,24,0.007947019867549669
rsamtools,23,0.0076158940397350995
lavaan,23,0.0076158940397350995
glmmtmb,20,0.006622516556291391
rjags,20,0.006622516556291391
reshape2,20,0.006622516556291391
r.matlab,20,0.006622516556291391
mcmcglmm,20,0.006622516556291391
