library_name_normalized,count,proportion_of_documents
numpy,20417,0.8985960124994499
matplotlib,12534,0.5516482549183575
scipy,11276,0.49628097354869943
pandas,10042,0.4419699837155055
tqdm,7776,0.34223845781435674
sklearn,7704,0.33906958320496455
torch,7060,0.3107257603098455
pil,5219,0.22969939703358128
torchvision,4926,0.21680383785924914
cv2,4229,0.18612737115443861
seaborn,3588,0.1579155847013776
tensorflow,3331,0.14660446283174156
skimage,2406,0.10589322653052242
yaml,2331,0.10259231547907223
h5py,2251,0.09907134369085868
requests,1917,0.08437128647506711
nltk,1751,0.07706527001452401
tensorboardx,1721,0.07574490559394392
transformers,1522,0.06698648827076273
networkx,1478,0.06504995378724528
ipython,1429,0.06289335856696449
mpltoolkits,1404,0.06179305488314775
six,1401,0.06166101844108974
pytest,1361,0.059900532546982965
keras,1229,0.054090929096430616
joblib,1194,0.05255050393908719
bio,932,0.04101932133268782
imageio,841,0.03701421592359491
apex,833,0.036662118744773556
statsmodels,756,0.03327318339861802
pylab,710,0.03124862462039523
spacy,690,0.030368381673341844
numba,685,0.030148320936578495
gensim,613,0.026979446327186303
psutil,567,0.024954887548963516
pycocotools,553,0.024338717486026142
wandb,525,0.023106377360151403
pkgresources,516,0.02271026803397738
plotly,471,0.02072972140310726
shapely,465,0.020465648518991242
easydict,451,0.019849478456053872
click,440,0.01936534483517451
librosa,438,0.01927732054046917
pytorchlightning,427,0.018793186919589807
bs4,411,0.018088992561947098
google,397,0.01747282249900973
astropy,388,0.017076713172835704
tabulate,375,0.016504555257251002
torchgeometric,361,0.01588838519431363
nibabel,358,0.015756348752255622
