library_name_normalized,count,proportion_of_documents
dplyr,2448,0.4296998420221169
ggplot2,2340,0.4107424960505529
tidyverse,1298,0.22783921362120416
data.table,1076,0.18887133579076706
stringr,1053,0.1848341232227488
tidyr,1048,0.1839564683166579
reshape2,1011,0.17746182201158506
rcolorbrewer,952,0.16710549411971212
scales,916,0.16078637879585747
plyr,868,0.1523608916973846
gridextra,838,0.14709496226083904
cowplot,710,0.12462699666491137
ggpubr,639,0.11216429699842022
readr,568,0.09970159733192908
mass,538,0.09443566789538353
tibble,512,0.08987186238371073
devtools,470,0.08249956117254696
viridis,467,0.0819729682288924
ggrepel,458,0.08039318939792874
purrr,446,0.07828681762331051
matrix,446,0.07828681762331051
readxl,423,0.07424960505529227
magrittr,393,0.06898367561874671
ape,392,0.06880814463752853
lubridate,374,0.06564858697560119
patchwork,359,0.06301562225732842
doparallel,335,0.05880287870809198
igraph,320,0.0561699139898192
foreach,304,0.05336141829032824
vegan,274,0.048095488853782696
raster,271,0.04756889591012814
knitr,267,0.0468667719852554
pheatmap,254,0.04458486922941899
shiny,250,0.04388274530454625
hmisc,247,0.0433561523608917
gplots,245,0.04300509039845533
car,241,0.04230296647358259
sf,238,0.04177637352992803
lme4,212,0.037212568018255225
caret,210,0.03686150605581885
broom,206,0.03615938213094611
here,196,0.034404072318764266
sp,194,0.03405301035632789
rgdal,190,0.03335088643145515
matrixstats,189,0.03317535545023697
dt,186,0.03264876250658241
reshape,186,0.03264876250658241
forcats,184,0.03229770054414604
biocmanager,183,0.032122169562927856
ggthemes,180,0.0315955766192733
