library_name_normalized,count,proportion_of_documents
github,2273,0.08941426379764762
matlab,945,0.03717399000826089
linux,849,0.033397584674088356
adam,537,0.021124267338027615
ensembl,477,0.01876401400416978
samtools,468,0.018409976004091107
bioconductor,425,0.016718461114826326
windows,422,0.016600448448133433
python,380,0.01494827111443295
blast,345,0.013571456669682546
imagej,331,0.013020730891782385
adamw,321,0.012627355336139413
scikit,312,0.012273317336060737
tensorflow,296,0.011643916447031982
google,272,0.010699815113488848
bowtie2,263,0.010345777113410174
mafft,256,0.010070414224460093
pytorch,251,0.009873726446638606
excel,233,0.009165650446481256
scikitlearn,227,0.008929625113095472
deeplab,223,0.008772274890838283
glove,222,0.008732937335273987
pypi,220,0.008654262224145393
graphpadprism,219,0.008614924668581094
bwamem,219,0.008614924668581094
rstudio,218,0.008575587113016798
trimmomatic,217,0.0085362495574525
ggplot,217,0.0085362495574525
gatk,211,0.008300224224066717
mechanicalturk,204,0.008024861335116637
cyclegan,202,0.007946186223988043
cytoscape,197,0.007749498446166556
fastqc,188,0.007395460446087881
simclr,185,0.007277447779394989
ubuntu,184,0.007238110223830692
plink,183,0.0071987726682663945
android,182,0.007159435112702097
jupyter,182,0.007159435112702097
cuda,179,0.007041422446009206
graphsage,179,0.007041422446009206
raxml,176,0.006923409779316314
star,172,0.006766059557059125
blastn,166,0.006530034223673342
xgboost,166,0.006530034223673342
huggingface,166,0.006530034223673342
cellranger,161,0.0063333464458518555
blastp,153,0.006018646001337477
hmmer,151,0.0059399708902088824
cutadapt,148,0.005821958223515991
scipy,147,0.0057826206679516936
