ecosystem,model_type,n_obs,predictor,coefficient,std_err,p_value,ci_lower,ci_upper
combined,raw,265446,library_age_at_use,-0.02198623184285983,0.04407164556273179,0.6178676123537163,-0.10836506988522862,0.06439260619950896
combined,controlled,265446,library_age_at_use,-0.02539705897383922,0.04577376665022372,0.579004967093574,-0.11511199304501835,0.06431787509733991
combined,controlled,265446,log_total_adopters,-0.027506603447382146,0.053402415683396334,0.6064959771922965,-0.1321734148742759,0.0771602079795116
combined,binary,265446,is_young_library,0.21983136189163197,0.13475359095059414,0.10281478089057819,-0.04428082315897511,0.48394354694223907
combined,binary,265446,log_total_adopters,-0.04161747010094934,0.06827214077463338,0.5421387190868899,-0.1754284071666793,0.09219346696478059
combined,age_only,265446,library_age_at_use,-0.02198623184285983,0.04407164556273179,0.6178676123537163,-0.10836506988522862,0.06439260619950896
combined,popularity_only,265446,log_total_adopters,-0.0336931910126549,0.06613682444467898,0.6104391065426047,-0.163318984976074,0.09593260295076418
py,raw,206547,library_age_at_use,0.00878156667496004,0.055624062142161826,0.874556461678528,-0.10023959179749503,0.1178027251474151
py,controlled,206547,library_age_at_use,-0.00345626646706517,0.06867282308392483,0.959859843596039,-0.1380525264282487,0.13113999349411834
py,controlled,206547,log_total_adopters,-0.02074370585915724,0.06315261074120142,0.7425567089861438,-0.14452054844158937,0.10303313672327491
py,binary,206547,is_young_library,0.2234707064953133,0.1783165062665474,0.21012382818508124,-0.12602322363613044,0.5729646366267571
py,binary,206547,log_total_adopters,-0.014281601733789404,0.07931747184594831,0.857108456200639,-0.16974098989661782,0.14117778642903903
py,age_only,206547,library_age_at_use,0.00878156667496004,0.055624062142161826,0.874556461678528,-0.10023959179749503,0.1178027251474151
py,popularity_only,206547,log_total_adopters,0.0021802928513318036,0.07649870450177754,0.9772625363322656,-0.14775441283612425,0.15211499853878788
r,raw,58899,library_age_at_use,-0.10979721608054427,0.03476270813797211,0.0015859579254019203,-0.17793087203604704,-0.04166356012504149
r,controlled,58899,library_age_at_use,-0.05516396741384466,0.04536724408783328,0.22400676607032632,-0.1440821319038356,0.03375419707614627
r,controlled,58899,log_total_adopters,-0.1639995258013791,0.05283669581897572,0.001909914677977493,-0.2675575466686696,-0.06044150493408865
r,binary,58899,is_young_library,0.12471968445874015,0.11142901121913687,0.26302292227350677,-0.09367716436367773,0.34311653328115804
r,binary,58899,log_total_adopters,-0.21517449271381578,0.06381519286318055,0.0007466835275767975,-0.3402499723921272,-0.09009901303550441
r,age_only,58899,library_age_at_use,-0.10979721608054427,0.03476270813797211,0.0015859579254019203,-0.17793087203604704,-0.04166356012504149
r,popularity_only,58899,log_total_adopters,-0.21243926852399406,0.060750794720721354,0.0004707036297285093,-0.33150863820879395,-0.09336989883919415
