ecosystem,threshold_years,measure,outcome,coefficient,ci_lower,ci_upper,p_value,n
cross-ecosystem,1,frac_young_libraries_z,FWCI,0.15816259004389374,0.09356719450041265,0.22275798558737483,1.679941154136969e-6,2199
cross-ecosystem,1,has_any_young_library,FWCI,0.27458923983328754,0.11533373597047217,0.43384474369610293,0.0007342329592817804,2199
py,1,frac_young_libraries_z,FWCI,0.1120019741300205,0.10078756502952246,0.12321638323051853,4.422442195583917e-85,65276
py,1,has_any_young_library,FWCI,0.19184476080816157,0.16010965819013306,0.22357986342619007,2.3626729150580693e-32,65276
r,1,frac_young_libraries_z,FWCI,0.155038883794266,0.12249461359336054,0.18758315399517145,1.2386324807841218e-20,8136
r,1,has_any_young_library,FWCI,0.32663385952858287,0.2442503902604593,0.40901732879670644,8.668746396552575e-15,8136
cross-ecosystem,2,frac_young_libraries_z,FWCI,0.18524699547738774,0.11545251357179649,0.255041477382979,2.1210759338853276e-7,2199
cross-ecosystem,2,has_any_young_library,FWCI,0.18837546925551046,0.05333831521568516,0.32341262329533577,0.006276066056327074,2199
py,2,frac_young_libraries_z,FWCI,0.11210205252018145,0.10014229381816882,0.12406181122219408,3.4338154735826386e-75,65276
py,2,has_any_young_library,FWCI,0.10346979894747953,0.07718236911171177,0.1297572287832473,1.229341185992413e-14,65276
r,2,frac_young_libraries_z,FWCI,0.19959540892831942,0.1639870516666374,0.23520376619000144,6.867983811650594e-28,8136
r,2,has_any_young_library,FWCI,0.22808731487435258,0.15472852300686327,0.3014461067418419,1.1454501474572977e-9,8136
cross-ecosystem,3,frac_young_libraries_z,FWCI,0.2207753708078495,0.14362180360967372,0.29792893800602527,2.2588051140759273e-8,2199
cross-ecosystem,3,has_any_young_library,FWCI,0.03271205645040594,-0.09499606147996063,0.1604201743807725,0.6154954747430535,2199
py,3,frac_young_libraries_z,FWCI,0.1292376418601083,0.11649745847834045,0.14197782524187616,1.0516898348219166e-87,65276
py,3,has_any_young_library,FWCI,0.09526228703630804,0.07067179386605561,0.11985278020656047,3.168731642528807e-14,65276
r,3,frac_young_libraries_z,FWCI,0.24844904812598476,0.209084320745663,0.28781377550630655,7.610529436187962e-35,8136
r,3,has_any_young_library,FWCI,0.07571744354764168,0.006353504881805597,0.14508138221347777,0.032399911508378135,8136
