document_id,repository_id,mean_adoption_percentile,max_adoption_percentile,frac_early_adopter,num_libraries_scored,document_cited_by_count,document_fwci,document_field_name,document_publication_year,ecosystem_label
476914,470960,100.0,100.0,1.0,2,2,0.7247,Computer Science,2014,py
483646,477701,100.0,100.0,1.0,1,10,0.6515,Computer Science,2018,py
114930,111648,100.0,100.0,1.0,1,1998,47.6371752,Computer Science,2017,py
192072,185584,100.0,100.0,1.0,3,30,6.82113061,Computer Science,2012,py
472065,466108,100.0,100.0,1.0,1,7,1.4124,Engineering,2017,py
312509,306331,100.0,100.0,1.0,1,16,2.5352,Computer Science,2017,py
173324,169771,100.0,100.0,1.0,1,2,0.38832944,Computer Science,2019,py
176650,172798,100.0,100.0,1.0,1,8,1.0003954,Computer Science,2015,py
47454,45307,100.0,100.0,1.0,3,15,4.77762983,Computer Science,2016,py
251416,245108,100.0,100.0,1.0,1,6,0.33436477,Computer Science,2016,py
143031,139720,99.99800604105239,100.0,1.0,15,85,3.93733512,Physics and Astronomy,2010,py
276271,270030,99.99382515938807,99.99382515938807,1.0,1,53,7.0512627,Computer Science,2011,py
425431,419438,99.99361520967636,99.99382515938807,1.0,2,24,0.5317,"Biochemistry, Genetics and Molecular Biology",2011,py
179088,174862,99.98960984986233,99.98960984986233,1.0,1,4,0.55303996,Computer Science,2012,py
324760,318596,99.9868073878628,100.0,1.0,5,230,47.5061,Computer Science,2011,py
388638,382497,99.9864925361614,100.0,1.0,2,68,8.7771,Computer Science,2012,py
221008,214623,99.98282581317464,99.9935494275117,1.0,3,59,1.43677293,Physics and Astronomy,2012,py
74977,72148,99.98088308938674,100.0,1.0,3,56,0.42081477,Physics and Astronomy,2012,py
210979,204565,99.97889627519257,99.97889627519257,1.0,1,5,0.37903385,Computer Science,2012,py
106539,103385,99.9766881057037,100.0,1.0,6,18,1.59738829,Medicine,2012,py
