document_id,repository_id,mean_adoption_percentile,max_adoption_percentile,frac_early_adopter,num_libraries_scored,document_cited_by_count,document_fwci,document_field_name,document_publication_year,ecosystem_label
466417,460452,3.2406394001435626,6.25,0.0,27,3,2.5275,"Biochemistry, Genetics and Molecular Biology",2025,cross-ecosystem
394029,387888,3.21023539608067,5.970149253731338,0.0,24,2,3.1351,Medicine,2025,cross-ecosystem
457253,451286,3.2042706710840316,9.090909090909093,0.0,29,2,3.8,"Biochemistry, Genetics and Molecular Biology",2025,cross-ecosystem
324309,318145,3.2028005188220816,4.170489998164806,0.0,11,3,8.7316,"Economics, Econometrics and Finance",2025,cross-ecosystem
37972,36233,3.1725191325259,4.285714285714281,0.0,16,3,21.86301292,Mathematics,2025,cross-ecosystem
165878,162666,3.1602548348841397,4.170489998164806,0.0,14,2,8.54054037,Neuroscience,2025,cross-ecosystem
353102,346959,3.1473407943953964,8.333333333333337,0.0,21,2,11.4214,Social Sciences,2025,cross-ecosystem
217551,211160,3.1375052163451826,5.555555555555558,0.0,22,2,14.57534195,Mathematics,2025,cross-ecosystem
386697,380556,3.1172636769567585,6.25,0.0,25,6,4.2578,"Biochemistry, Genetics and Molecular Biology",2025,cross-ecosystem
360443,354301,3.0715213150182596,3.9066463723998024,0.0,5,3,2.5296,"Biochemistry, Genetics and Molecular Biology",2025,cross-ecosystem
199834,193375,3.0440815943459283,3.9622641509433953,0.0,7,2,14.57534195,Mathematics,2025,cross-ecosystem
165027,161834,2.948005929560087,4.170489998164806,0.0,7,2,5.36588926,"Biochemistry, Genetics and Molecular Biology",2025,cross-ecosystem
166256,163030,2.8877409599454933,5.696202531645566,0.0,15,2,5.36588926,"Biochemistry, Genetics and Molecular Biology",2025,cross-ecosystem
164994,161802,2.849290867217039,4.452926208651398,0.0,23,2,28.84276898,Social Sciences,2025,cross-ecosystem
167958,164679,2.7862504695275843,4.280373178657538,0.0,13,2,5.18172638,Immunology and Microbiology,2025,cross-ecosystem
196252,189780,2.632442485219852,5.608755129958965,0.0,12,2,7.69549688,Environmental Science,2025,cross-ecosystem
455526,449559,2.5607928451347703,4.157043879907619,0.0,12,3,7.81,Computer Science,2025,cross-ecosystem
2380,2318,2.553775139664803,3.9622641509433953,0.0,20,3,14.45923544,Computer Science,2025,cross-ecosystem
167618,164355,2.4504934745919362,3.4093330492222407,0.0,8,2,10.33004814,Computer Science,2025,cross-ecosystem
483836,477891,0.00030060507381502957,0.0032252862441572994,0.0,21,2,43.883,Environmental Science,2026,cross-ecosystem
