document_id,repository_id,mean_adoption_percentile,max_adoption_percentile,frac_early_adopter,num_libraries_scored,document_cited_by_count,document_fwci,document_field_name,document_publication_year,ecosystem_label
387150,381009,2.3343482275783005,7.14285714285714,0.0,9,2,3.2817,"Biochemistry, Genetics and Molecular Biology",2025,r
73895,71078,2.2793856920570392,3.508771929824561,0.0,12,7,20.7462737,Physics and Astronomy,2025,r
165730,162521,2.2745089007691788,2.9459901800327315,0.0,5,3,19.42282863,Medicine,2025,r
468275,462310,2.2705492254547717,3.9264237707817506,0.0,9,2,2.2626,Engineering,2025,r
382053,375912,2.269264497968848,3.93258426966292,0.0,6,2,2.4244,Agricultural and Biological Sciences,2025,r
163257,160108,2.2588007053583685,3.4093330492222407,0.0,4,5,31.7924184,"Biochemistry, Genetics and Molecular Biology",2025,r
40119,38318,2.1998946158267865,3.6644951140065163,0.0,2,3,21.86301292,Mathematics,2025,r
64104,61504,2.199528672427342,2.199528672427342,0.0,1,2,9.63949029,Computer Science,2025,r
344516,338372,2.1818785234022795,3.9264237707817506,0.0,7,2,2.3279,Environmental Science,2025,r
162739,159602,2.0000000000000018,4.0000000000000036,0.0,2,5,22.14368791,Medicine,2025,r
389903,383762,1.736111111111116,1.736111111111116,0.0,1,4,7.6592,"Biochemistry, Genetics and Molecular Biology",2025,r
45444,43454,1.6600872622479352,4.6875,0.0,6,3,9.83597141,Physics and Astronomy,2025,r
165282,162086,1.5597912807900682,3.9066463723998024,0.0,5,2,12.71696736,"Biochemistry, Genetics and Molecular Biology",2025,r
362581,356439,1.5566806158621134,2.304147465437789,0.0,4,19,93.9608,Earth and Planetary Sciences,2025,r
452928,446960,1.5151515151515138,1.5151515151515138,0.0,1,7,13.3,"Biochemistry, Genetics and Molecular Biology",2025,r
487923,481981,1.344621513944222,2.689243027888444,0.0,2,2,5.6858,Mathematics,2025,r
52463,50116,0.0,0.0,0.0,1,2,1.2775571,Computer Science,2024,r
387753,381612,0.0,0.0,0.0,1,7,1.9293,"Biochemistry, Genetics and Molecular Biology",2023,r
396028,389888,0.0,0.0,0.0,1,2,1.7031,"Biochemistry, Genetics and Molecular Biology",2025,r
375224,369083,0.0,0.0,0.0,1,7,13.4457,"Biochemistry, Genetics and Molecular Biology",2025,r
