document_id,repository_id,mean_library_age,min_library_age,frac_young_libraries,software_novelty,num_libraries_age_scored,document_cited_by_count,document_fwci,document_field_name,document_publication_year,ecosystem_label
92891,89819,15.0,15,0.0,-15.0,2,2,6.55731427,Physics and Astronomy,2025,py
117412,114092,15.0,15,0.0,-15.0,3,4,13.99162238,Physics and Astronomy,2025,py
160306,157161,15.0,15,0.0,-15.0,5,5,23.86703655,Computer Science,2025,py
115986,112685,15.0,15,0.0,-15.0,5,5,16.39328568,Physics and Astronomy,2025,py
350757,344614,15.0,15,0.0,-15.0,2,7,15.4174,Psychology,2025,py
123870,120550,15.0,15,0.0,-15.0,4,9,24.35198291,Engineering,2025,py
237888,231546,15.0,15,0.0,-15.0,3,3,11.15031977,Engineering,2025,py
256627,250334,15.0,15,0.0,-15.0,2,7,16.80980617,Chemistry,2025,py
282708,276475,15.0,15,0.0,-15.0,5,4,19.68227591,Earth and Planetary Sciences,2025,py
22124,21121,15.0,15,0.0,-15.0,3,2,19.32734649,Computer Science,2025,py
53993,51649,15.0,15,0.0,-15.0,3,6,9.51274288,Materials Science,2025,py
2876,2784,15.0,15,0.0,-15.0,4,2,7.43354651,Engineering,2025,py
267268,260999,15.0,15,0.0,-15.0,4,9,38.55796117,Computer Science,2025,py
429914,423926,15.0,15,0.0,-15.0,4,2,0.8001,Chemical Engineering,2025,py
160696,157560,15.0,15,0.0,-15.0,5,20,96.39490293,Computer Science,2025,py
165257,162061,15.0,15,0.0,-15.0,4,2,7.12479553,Mathematics,2025,py
101299,98207,15.0,15,0.0,-15.0,4,6,24.50282942,Neuroscience,2025,py
160675,157540,15.0,15,0.0,-15.0,7,3,14.32022193,Computer Science,2025,py
99617,96532,15.0,15,0.0,-15.0,3,5,25.09197715,Computer Science,2025,py
106009,102850,15.0,15,0.0,-15.0,3,35,114.75299974,Physics and Astronomy,2025,py
