software_name_normalized,import_count,import_proportion
ggplot2,9582,0.4618721681287959
dplyr,9278,0.44721874096211317
tidyverse,5511,0.26564156945917283
tidyr,3983,0.19198881712137278
stringr,3588,0.1729490022172949
data.table,3480,0.16774317940807865
scales,3446,0.1661043092644365
reshape2,3089,0.14889617275619396
rcolorbrewer,2890,0.13930396220958258
gridextra,2829,0.13636363636363635
mass,2547,0.12277065458401619
ggpubr,2477,0.1193965101706353
cowplot,2419,0.11660079051383399
plyr,2291,0.11043092644365178
readr,2114,0.10189916128410295
tibble,1864,0.08984864552202834
purrr,1844,0.08888460426106237
readxl,1818,0.0876313506218066
patchwork,1735,0.08363057938879784
lubridate,1652,0.07962980815578906
matrix,1644,0.07924419165140267
devtools,1629,0.0785211607056782
doparallel,1546,0.07452038947266942
viridis,1545,0.07447218740962112
ggrepel,1459,0.07032680998746746
igraph,1351,0.06512098717825122
sf,1339,0.06454256242167164
foreach,1302,0.0627590860888846
lme4,1269,0.06116841800829075
magrittr,1220,0.05880651691892413
knitr,1077,0.051913621903017446
ape,1066,0.05138339920948616
here,1040,0.050130145570230406
raster,1009,0.04863588161573315
mvtnorm,987,0.04757543622867059
xtable,982,0.047334425913429096
rlang,943,0.045454545454545456
caret,942,0.045406343391497156
glmnet,897,0.043237250554323724
shiny,853,0.04111635978019859
vegan,835,0.04024872264532922
broom,832,0.04010411645618432
car,799,0.038513448375590474
usethis,781,0.037645811240721104
hmisc,779,0.037549407114624504
sp,774,0.03730839679938301
mgcv,765,0.03687457823194833
survival,745,0.03591053697098236
pheatmap,710,0.03422346476429191
forcats,709,0.03417526270124361
