library_name_normalized,imports_count,mentions_count,import_to_mention_ratio,mention_to_import_ratio
scales,917,1,917.0,0.0010905125408942203
patchwork,360,1,360.0,0.002777777777777778
forcats,185,1,185.0,0.005405405405405406
xtable,175,1,175.0,0.005714285714285714
tibble,515,3,171.66666666666666,0.005825242718446602
lattice,155,1,155.0,0.0064516129032258064
gridextra,844,6,140.66666666666666,0.0071090047393364926
data.table,1085,9,120.55555555555556,0.008294930875576038
plotrix,119,1,119.0,0.008403361344537815
viridis,471,4,117.75,0.008492569002123142
httr,105,1,105.0,0.009523809523809525
broom,208,2,104.0,0.009615384615384616
foreach,307,3,102.33333333333333,0.009771986970684038
readr,574,6,95.66666666666667,0.010452961672473868
purrr,451,5,90.2,0.011086474501108648
abind,84,1,84.0,0.011904761904761904
shinythemes,81,1,81.0,0.012345679012345678
magrittr,398,5,79.6,0.01256281407035176
lubridate,379,5,75.8,0.013192612137203167
iranges,71,1,71.0,0.014084507042253521
knitr,271,4,67.75,0.014760147601476014
geosphere,64,1,64.0,0.015625
biocmanager,186,3,62.0,0.016129032258064516
readxl,430,7,61.42857142857143,0.01627906976744186
egg,61,1,61.0,0.01639344262295082
kableextra,60,1,60.0,0.016666666666666666
zoo,178,3,59.333333333333336,0.016853932584269662
rcolorbrewer,969,17,57.0,0.017543859649122806
ggridges,112,2,56.0,0.017857142857142856
digest,53,1,53.0,0.018867924528301886
jsonlite,159,3,53.0,0.018867924528301886
reshape2,1031,20,51.55,0.019398642095053348
argparse,51,1,51.0,0.0196078431372549
withr,51,1,51.0,0.0196078431372549
plyr,886,18,49.22222222222222,0.020316027088036117
go.db,49,1,49.0,0.02040816326530612
ggdendro,48,1,48.0,0.020833333333333332
dt,190,4,47.5,0.021052631578947368
ggforce,93,2,46.5,0.021505376344086023
dbi,46,1,46.0,0.021739130434782608
rlang,181,4,45.25,0.022099447513812154
tidyr,1072,24,44.666666666666664,0.022388059701492536
stargazer,43,1,43.0,0.023255813953488372
xml2,42,1,42.0,0.023809523809523808
haven,42,1,42.0,0.023809523809523808
ggpmisc,41,1,41.0,0.024390243902439025
gtools,162,4,40.5,0.024691358024691357
reticulate,121,3,40.333333333333336,0.024793388429752067
loo,40,1,40.0,0.025
ggsci,118,3,39.333333333333336,0.025423728813559324
