library_name_normalized,imports_count,mentions_count,import_to_mention_ratio,mention_to_import_ratio
qgis,17,15,1.1333333333333333,0.8823529411764706
psychopy,25,22,1.1363636363636365,0.88
pyrosetta,13,11,1.1818181818181819,0.8461538461538461
carla,32,27,1.1851851851851851,0.84375
surfer,12,10,1.2,0.8333333333333334
modeller,13,10,1.3,0.7692307692307693
neuron,26,18,1.4444444444444444,0.6923076923076923
msprime,29,20,1.45,0.6896551724137931
qiime2,16,11,1.4545454545454546,0.6875
autoattack,17,11,1.5454545454545454,0.6470588235294118
pymc3,76,48,1.5833333333333333,0.631578947368421
cplex,25,15,1.6666666666666667,0.6
snakemake,24,14,1.7142857142857142,0.5833333333333334
casadi,19,11,1.7272727272727273,0.5789473684210527
xgboost,341,189,1.8042328042328042,0.5542521994134897
pybullet,57,31,1.8387096774193548,0.543859649122807
scanpy,237,125,1.896,0.5274261603375527
numpyro,21,11,1.9090909090909092,0.5238095238095238
pystan,23,12,1.9166666666666667,0.5217391304347826
qiskit,41,21,1.9523809523809523,0.5121951219512195
fenics,20,10,2.0,0.5
elasticsearch,52,26,2.0,0.5
mdanalysis,60,30,2.0,0.5
gurobipy,107,53,2.018867924528302,0.4953271028037383
cobra,51,25,2.04,0.49019607843137253
scvelo,31,15,2.066666666666667,0.4838709677419355
nipype,23,11,2.090909090909091,0.4782608695652174
pyomo,21,10,2.1,0.47619047619047616
pybulletdata,36,17,2.1176470588235294,0.4722222222222222
pycorenlp,24,11,2.1818181818181817,0.4583333333333333
gpytorch,29,13,2.230769230769231,0.4482758620689655
openmm,25,11,2.272727272727273,0.44
rdkit,262,114,2.2982456140350878,0.4351145038167939
pymol,42,18,2.3333333333333335,0.42857142857142855
hdbscan,69,29,2.3793103448275863,0.42028985507246375
scvi,32,13,2.4615384615384617,0.40625
pytorch3d,109,44,2.477272727272727,0.4036697247706422
photutils,26,10,2.6,0.38461538461538464
gseapy,30,11,2.727272727272727,0.36666666666666664
pyspark,48,17,2.823529411764706,0.3541666666666667
obspy,35,12,2.9166666666666665,0.34285714285714286
torch,10464,3404,3.074030552291422,0.3253058103975535
cvxpy,113,36,3.138888888888889,0.3185840707964602
mdtraj,67,21,3.1904761904761907,0.31343283582089554
pyteomics,33,10,3.3,0.30303030303030304
dendropy,54,16,3.375,0.2962962962962963
openbabel,35,10,3.5,0.2857142857142857
streamlit,64,18,3.5555555555555554,0.28125
lmfit,55,15,3.6666666666666665,0.2727272727272727
lightgbm,97,26,3.730769230769231,0.26804123711340205
