ecosystem,n,outcome_variable,model_type,atypicality_coefficient,atypicality_p_value,std_err,ci_lower,ci_upper
py,64409,document_cited_by_count,Negative Binomial with controls,-0.06417533810224603,1.3698704507976227e-21,0.0067239211157725225,-0.07735398132404855,-0.05099669488044351
py,64409,document_log_fwci,OLS with controls,-0.019576358580826323,0.006316361906927424,0.0071682559345208115,-0.033626146090560444,-0.005526571071092201
py,64409,document_cited_by_count,Negative Binomial,-0.02917641334513695,2.9500367774076597e-7,0.005691169389386213,-0.04033090037825074,-0.01802192631202316
py,64409,document_log_fwci,OLS,0.09298829120725277,2.1570855955251476e-69,0.005274796069685519,0.08264968659732745,0.10332689581717809
r,7656,document_cited_by_count,Negative Binomial with controls,-0.0834050576767042,9.417923825844098e-6,0.018826802911763287,-0.12030491332779406,-0.04650520202561433
r,7656,document_log_fwci,OLS with controls,-0.034116226122059556,0.08801159762705628,0.01999545382460942,-0.07331279704382407,0.0050803447997049556
r,7656,document_cited_by_count,Negative Binomial,0.13134192775681325,2.6901757184591574e-18,0.01505558639128825,0.10183352066375692,0.16085033484986958
r,7656,document_log_fwci,OLS,0.08222409546128501,1.5137328584688567e-8,0.014511553204202566,0.05377747542934552,0.11067071549322449
cross-ecosystem,2199,document_cited_by_count,Negative Binomial with controls,0.04551736829561961,0.1949692918813669,0.03512093901623437,-0.023318407279427363,0.11435314387066658
cross-ecosystem,2199,document_log_fwci,OLS with controls,0.03366027532369842,0.36091878870119787,0.036835217947588664,-0.03857529323090235,0.10589584387829919
cross-ecosystem,2199,document_cited_by_count,Negative Binomial,0.017628171922549504,0.539706714520901,0.02874518300485852,-0.03871135149598605,0.07396769534108505
cross-ecosystem,2199,document_log_fwci,OLS,0.12798452900694565,3.4823713291261486e-6,0.02751157359545158,0.07403311312874214,0.18193594488514916
