document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes,,,,,
26222,https://doi.org/10.1016/j.cose.2022.103051,25141,https://github.com/efchatz/http3-attacks,48704,https://github.com/efchatz,https://github.com/efchatz/http3-attacks/commits?author=efchatz,25,256,111,25,256,111,code,yes,,first author ,,,,,
46257,https://doi.org/10.1109/ICCV48922.2021.00931,44262,https://github.com/arjish/pretrainedfulllibrary_fewshot,73763,https://github.com/mj33rice,https://github.com/arjish/pretrainedfulllibrary_fewshot/commits?author=mj33rice,2,364,2,6,389,5,code,yes,,Has ORCID linked,,,,,
44180,https://doi.org/10.1371/journal.pone.0263125,42221,https://github.com/lukemelas/efficientnet-pytorch,71223,https://github.com/Ryo-F,https://github.com/lukemelas/efficientnet-pytorch/commits?author=Ryo-F,1,13,18,120,8902,3609,code,no,,,,,,,
66826,https://doi.org/10.1371/journal.pdig.0000108,64031,https://github.com/epfl-iglobalhealth/modn-ml4h,25977,https://github.com/cctrotte,https://github.com/epfl-iglobalhealth/modn-ml4h/commits?author=cctrotte,2,5618,0,2,5618,0,code,yes,,first author ,,,,,
60665,https://doi.org/10.1109/ISBI56570.2024.10635615,58059,https://github.com/jamesqfreeman/lora-vit,89594,https://github.com/zixuzhuang,https://github.com/jamesqfreeman/lora-vit/commits?author=zixuzhuang,2,586,107,73,22215,18230,code,no,,,,,,,
147733,https://doi.org/10.1109/CVPR46437.2021.00841,143953,https://github.com/hyz-xmaster/varifocalnet,9333,https://github.com/v-qjqs,https://github.com/hyz-xmaster/varifocalnet/commits?author=v-qjqs,20,5770,165,1269,267334,146969,code,no,,intern ,,,,,
55163,https://doi.org/10.1109/CVPR46437.2021.00794,52765,https://github.com/nmaac/acon,56003,https://github.com/glenn-jocher,https://github.com/nmaac/acon/commits?author=glenn-jocher,3,14,16,5,3080,21,code,no,,,,,,,
107848,https://doi.org/10.1088/1748-0221/18/11/P11028,104357,https://github.com/dnicotra/trackhhl,131469,https://github.com/Xenofon-Chiotopoulos,https://github.com/dnicotra/trackhhl/commits?author=Xenofon-Chiotopoulos,7,734,709,11,924,712,code,no,,,,,,,
44180,https://doi.org/10.1371/journal.pone.0263125,42221,https://github.com/lukemelas/efficientnet-pytorch,27892,https://github.com/developer0hye,https://github.com/lukemelas/efficientnet-pytorch/commits?author=developer0hye,2,1,5,120,8902,3609,code,no,,,,,,,
52113,https://doi.org/10.1103/PhysRevE.103.063308,49884,https://github.com/misiekc/polygonrsa,80313,https://github.com/misiekc,https://github.com/misiekc/polygonrsa/commits?author=misiekc,4,6297,3,13,9639,1672,code,yes,,first author,,,,,
18102,https://doi.org/10.48550/arxiv.1901.03353,17399,https://github.com/chengyangfu/retinamask,9825,https://github.com/fmassa,https://github.com/chengyangfu/retinamask/commits?author=fmassa,8,10108,52,25,10260,114,code,no,,,,,,,
32480,https://doi.org/10.2140/camcos.2022.17.1,31043,https://github.com/stevenireeves/amrex,17538,https://github.com/adam-m-jcbs,https://github.com/stevenireeves/amrex/commits?author=adam-m-jcbs,,,,,,,code,no,,Older branch major contributor ,,,,,
86659,https://doi.org/10.1145/3528535.3565238,83371,https://github.com/bacox/fltk,114120,https://github.com/IzaakC,https://github.com/bacox/fltk/commits?author=IzaakC,10,543,182,115,33417,23182,code,no,,,,,,,
68723,https://doi.org/10.1109/ICRA.2019.8794254,65844,https://github.com/msiam/motion_adaptation,35305,https://github.com/vincentzhang,https://github.com/msiam/motion_adaptation/commits?author=vincentzhang,2,88,55,39,27821,21659,code,no,,,,,,,
147971,https://doi.org/10.24963/ijcai.2017/585,144194,https://github.com/chunyangx/overnight_more,112679,https://github.com/froystig,https://github.com/chunyangx/overnight_more/commits?author=froystig,2,14,9,39,43509,22628,code,no,,,,,,,
58620,https://doi.org/10.1109/TRO.2024.3400838,56072,https://github.com/uzh-rpg/rpg_quadrotor_control,87538,https://github.com/davidefalanga,https://github.com/uzh-rpg/rpg_quadrotor_control/commits?author=davidefalanga,1,2,2,163,60601,12615,code,no,,Older branch major contributor ,,,,,
